"","bmigr","sub","sex","x","p1","p2.3","p3","p5","p10","p16","p20","p25","p50","p75","p80","p84","p90","p95","p97","p99"
"282",1,"S","W",37,-3.16,-0.879999999999999,-0.109999999999999,1.43,3.7,5.4,6.27,7.2,10.63,14.04,14.95,15.81,17.47,19.67,21.16,24.07
"292",1,"S","W",38,-2.85,-0.539999999999999,0.23,1.79,4.09,5.81,6.69,7.63,11.11,14.57,15.5,16.36,18.05,20.27,21.77,24.71
"302",1,"S","W",39,-2.54,-0.210000000000001,0.579999999999998,2.15,4.47,6.22,7.11,8.06,11.6,15.12,16.05,16.93,18.63,20.89,22.41,25.38
"312",1,"S","W",40,-2.22,0.129999999999999,0.93,2.52,4.87,6.64,7.54,8.51,12.09,15.66,16.61,17.5,19.23,21.51,23.05,26.06
"114",1,"O","W",10,-13.61,-10.7,-9.71,-7.79,-5.23,-3.57,-2.81,-2.07,0.0100000000000016,2.09,2.81,3.53,5.1,7.48,9.27,13.17
"214",1,"O","W",11,-13.56,-10.69,-9.72,-7.82,-5.27,-3.59,-2.81,-2.05,0.170000000000002,2.38,3.11,3.86,5.44,7.79,9.54,13.3
"34",1,"O","W",12,-13.48,-10.65,-9.7,-7.83,-5.29,-3.6,-2.81,-2.02,0.34,2.67,3.43,4.18,5.77,8.1,9.8,13.44
"43",1,"O","W",13,-13.37,-10.58,-9.65,-7.81,-5.3,-3.59,-2.79,-1.98,0.510000000000002,2.96,3.74,4.5,6.09,8.4,10.07,13.58
"53",1,"O","W",14,-13.22,-10.49,-9.57,-7.77,-5.28,-3.57,-2.75,-1.93,0.68,3.26,4.05,4.82,6.42,8.7,10.34,13.74
"63",1,"O","W",15,-13.05,-10.36,-9.47,-7.7,-5.24,-3.53,-2.7,-1.86,0.870000000000001,3.56,4.36,5.15,6.75,9.01,10.62,13.92
"73",1,"O","W",16,-12.84,-10.22,-9.34,-7.61,-5.17,-3.46,-2.63,-1.77,1.07,3.86,4.68,5.48,7.09,9.33,10.91,14.14
"83",1,"O","W",17,-12.62,-10.05,-9.19,-7.49,-5.08,-3.37,-2.53,-1.66,1.28,4.18,5.01,5.82,7.44,9.67,11.23,14.39
"93",1,"O","W",18,-12.38,-9.86,-9.02,-7.35,-4.97,-3.26,-2.41,-1.53,1.51,4.5,5.35,6.17,7.79,10.02,11.57,14.69
"103",1,"O","W",19,-12.14,-9.67,-8.84,-7.19,-4.83,-3.12,-2.26,-1.37,1.75,4.84,5.7,6.53,8.17,10.4,11.94,15.03
"115",1,"O","W",20,-11.89,-9.46,-8.64,-7.02,-4.67,-2.95,-2.09,-1.19,2.01,5.18,6.06,6.9,8.56,10.8,12.34,15.41
"123",1,"O","W",21,-11.64,-9.24,-8.43,-6.82,-4.49,-2.77,-1.9,-0.989999999999998,2.29,5.54,6.43,7.28,8.96,11.22,12.76,15.84
"133",1,"O","W",22,-11.4,-9.02,-8.22,-6.62,-4.28,-2.56,-1.68,-0.760000000000002,2.58,5.9,6.81,7.68,9.38,11.66,13.22,16.32
"143",1,"O","W",23,-11.16,-8.8,-8,-6.41,-4.06,-2.33,-1.44,-0.510000000000002,2.89,6.28,7.2,8.08,9.8,12.12,13.7,16.84
"153",1,"O","W",24,-10.94,-8.58,-7.79,-6.18,-3.83,-2.08,-1.19,-0.25,3.2,6.65,7.59,8.49,10.24,12.6,14.21,17.4
"163",1,"O","W",25,-10.73,-8.36,-7.56,-5.95,-3.58,-1.81,-0.91,0.0399999999999991,3.53,7.03,7.99,8.89,10.68,13.09,14.73,18
"173",1,"O","W",26,-10.53,-8.15,-7.34,-5.71,-3.32,-1.54,-0.629999999999999,0.34,3.86,7.4,8.38,9.3,11.13,13.59,15.27,18.63
"183",1,"O","W",27,-10.34,-7.93,-7.12,-5.48,-3.06,-1.25,-0.329999999999998,0.640000000000001,4.2,7.78,8.77,9.72,11.58,14.1,15.83,19.3
"193",1,"O","W",28,-10.15,-7.72,-6.89,-5.23,-2.78,-0.960000000000001,-0.0199999999999996,0.960000000000001,4.54,8.16,9.17,10.13,12.03,14.61,16.4,19.97
"203",1,"O","W",29,-9.97,-7.51,-6.67,-4.99,-2.51,-0.66,0.280000000000001,1.27,4.88,8.54,9.56,10.54,12.48,15.14,16.97,20.67
"215",1,"O","W",30,-9.77,-7.29,-6.44,-4.74,-2.23,-0.359999999999999,0.59,1.59,5.23,8.92,9.96,10.96,12.94,15.66,17.54,21.36
"223",1,"O","W",31,-9.58,-7.07,-6.21,-4.49,-1.95,-0.0599999999999987,0.899999999999999,1.91,5.58,9.31,10.37,11.38,13.4,16.19,18.13,22.06
"233",1,"O","W",32,-9.37,-6.84,-5.98,-4.24,-1.68,0.239999999999998,1.21,2.23,5.93,9.7,10.77,11.8,13.87,16.72,18.71,22.76
"243",1,"O","W",33,-9.15,-6.6,-5.73,-3.98,-1.39,0.539999999999999,1.52,2.55,6.28,10.1,11.19,12.24,14.34,17.26,19.3,23.46
"253",1,"O","W",34,-8.93,-6.36,-5.49,-3.73,-1.12,0.829999999999998,1.82,2.87,6.64,10.51,11.62,12.68,14.83,17.81,19.9,24.17
"263",1,"O","W",35,-8.68,-6.11,-5.24,-3.46,-0.829999999999998,1.13,2.13,3.19,7,10.93,12.05,13.14,15.33,18.36,20.5,24.87
"273",1,"O","W",36,-8.43,-5.86,-4.98,-3.2,-0.550000000000001,1.43,2.44,3.51,7.37,11.36,12.51,13.61,15.84,18.93,21.11,25.58
"283",1,"O","W",37,-8.16,-5.59,-4.71,-2.93,-0.27,1.73,2.75,3.83,7.75,11.81,12.98,14.1,16.36,19.51,21.73,26.28
"293",1,"O","W",38,-7.88,-5.32,-4.44,-2.66,0.0100000000000016,2.02,3.05,4.14,8.13,12.27,13.45,14.6,16.9,20.1,22.36,26.98
"303",1,"O","W",39,-7.58,-5.04,-4.16,-2.38,0.300000000000001,2.32,3.36,4.46,8.52,12.73,13.94,15.1,17.44,20.69,22.98,27.68
"313",1,"O","W",40,-7.29,-4.76,-3.88,-2.1,0.579999999999998,2.62,3.67,4.78,8.91,13.2,14.43,15.61,17.99,21.3,23.62,28.4
